title,split_title
出口企业和其他单位用于境外投资的出口货物申报退（免）税时，应当提供哪些资,出口 企业 单位 用于 境外 投资 出口 货物 申报 退 免 税时 提供 资
跨地区经营汇总纳税企业总分支机构所在地的主管税务机关如何对分摊税款比例进,跨地区 经营 汇总 纳税 企业 总 分支机构 所在地 主管 税务机关 分摊 税款 比例 进
非出口企业委托出口的货物劳务办理出口免税的期限是如何规定的？,非 出口 企业 委托 出口 货物 劳务 办理 出口 免税 期限
生产企业既有增值税免抵退项目，也有增值税即征即退、先征后退项目的，其增值,生产 企业 既有 增值税 免抵退 项目 增值税 即征 退 先征 后退 项目 增值
生产企业出口货物退（免）税方法是如何规定的？,生产 企业 出口 货物 退 免 税 方法
投资额超过80亿元的集成电路生产企业减按15%税率征收企业所得税,投资额 超过 80 亿元 集成电路 生产 企业 减按 15% 税率 征收 企业 所得税
企业重组业务适用特殊性税务处理的，重组各方在企业重组完成当年办理企业所得,企业 重组 业务 特殊性 税务 重组 各方 企业 重组 当年 办理 企业 所得
黄金期货交易免征增值税,黄金 期货交易 免征 增值税
《离境退税申请单》应如何取得？,离境 退税 申请单 应
国家税务总局关于部分纳税人向深圳第26届世界大学生夏季运动会提供服务赞助,国家税务总局 纳税人 深圳 26 届 世界 大学生 夏季 运动会 提供 服务 赞助
航空企业实际发生的飞行员养成费、飞行训练费、乘务训练费、空中保卫员训练费,航空 企业 发生 飞行员 养成 费 飞行 训练费 乘务 训练费 空中 保卫 员 训练费
出口企业和其他单位备案内容发生变化，向主管税务机关办理备案内容变更的时限,出口 企业 单位 备案 内容 发生变化 主管 税务机关 办理 备案 内容 变更 时限
中国境内的企事业单位有外派人员的，需要向税务机关报送外派人员情况吗？,中国 境内 企事业 单位 外派 人员 税务机关 报送 外派 人员 情况
设置在其他部门、车间的明细分类账，如何贴花？,设置 部门 车间 明细 分类账 贴花
资源税的纳税义务人包括哪些？,资源税 纳税 义务人 包括
外国驻华使（领）馆及其外交代表和领事官员如何办理退税？,外国 驻华 领 馆 外交代表 领事 官员 办理 退税
信贷资产证券化过程中的合同征收印花税有何具体规定？,信贷 资产 证券化 过程 中 合同 征收 印花税 有何
参加非任职单位组织的演出取得收入，如何计征个人所得税？,参加 非 任职 单位 组织 演出 收入 计征 个人所得税
在执行税收协定时判定常设机构，如何理解营业场所是相对固定的？,执行 税收 协定 时 判定 常设机构 理解 营业 场所 固定
个人向公益性青少年活动场所捐赠的个人所得税税前扣除规定是什么？,个人 公益性 青少年 活动场所 捐赠 个人所得税 税前 扣除
居民企业电网新建项目享受企业所得税优惠政策，提交什么资料到税务机关备案？,居民 企业 电网 新建 项目 享受 企业 所得税 优惠政策 提交 资料 税务机关 备案
财政部 国家税务总局关于大型水电企业增值税政策的通知,财政部   国家税务总局 大型 水电 企业 增值税 政策 通知
房地产开发企业销售未完工开发产品的计税毛利率如何确定？,房地产 开发 企业 销售 未 完工 开发 产品 计税 毛利率
企业实行承包经营、承租经营后，哪些情况下应由主管税务机关核定其个人所得税,企业 实行 承包经营 承租 经营 情况 下应 主管 税务机关 核定 个人所得税
企业将资产在总分支机构之间转移，在企业所得税上是否应当做视同销售处理？,企业 资产 总 分支机构 之间 转移 企业 所得税 做 视同 销售
以前年度未扣除的广告费，应当如何进行企业所得税处理？,以前年度 未 扣除 广告费 企业 所得税
享受优惠政策的经济特区和上海浦东新区内新设高新技术企业同时在经济特区和上,享受 优惠政策 经济特区 上海浦东新区 内新设 高新技术 企业 经济特区
税务师事务所购买职业责任保险应注意的问题？,税务师 事务所 购买 职业 责任保险 应
未经财政部和国家税务总局核定的准备金支出是否可以在企业所得税税前扣除？,未经 财政部 国家税务总局 核定 准备金 支出 企业 所得税 税前 扣除
在执行税收协定时，如何理解雇员或雇佣的其他人员?,执行 税收 协定 时 理解 雇员 雇佣 人员
在执行税收协定时，特许权使用费在什么情况下可以并入常设机构利润？,执行 税收 协定 时 特许权 使用费 情况 并入 常设机构 利润
在执行税收协定时，哪些服务所得（报酬）不是特许权使用费而是营业利润？,执行 税收 协定 时 服务 所得 报酬 特许权 使用费 营业 利润
一般纳税人对外出租其2016年4月30日前取得的不动产，可否就一栋建筑物,纳税人 对外 出租 2016 年 月 30 日前 不动产 可否 一栋 建筑物
北京市财政局 北京市国家税务局转发财政部国家税务总局关于外国驻华使（领）,北京市 财政局   北京市 国家税务局 转发 财政部 国家税务总局 外国 驻华 领
全面营改增后，两类定额发票面额、规格和联次，是如何规定的？,营改 增后 两类 定额 发 票面额 规格 联次
企业所得税法所指利息收入包括哪些内容？,企业 所得税法 所指 利息收入 包括 内容
国家天然林资源保护工程实施企业和单位房产税征免的确定？,国家 天然林 资源 保护 工程 实施 企业 单位 房产税 征免
税务机关可以对具备哪些情形的纳税人核定征收企业所得税？,税务机关 具备 情形 纳税人 核定 征收 企业 所得税
城镇土地使用税的纳税义务发生时间如何确定？,城镇 土地 使用税 纳税 义务 发生 时间
派驻境外工作取得所得的扣缴义务人的具体规定是什么？,派驻 境外 工作 所得 扣缴 义务人
个人从雇主一次性取得股票等有价证券的折扣或补贴的计税办法是什么？,个人 雇主 一次性 股票 有价证券 折扣 补贴 计税 办法
分期开发，分批完工如何分摊扣除项目金额？,开发 分批 完工 分摊 扣除 项目 金额
个人取得不含税全年一次性奖金收入如何计算缴纳个人所得税？,个人 不含税 一次性 奖金 收入 计算 缴纳 个人所得税
职工个人取得中国职工保险互助会分配的红利所得，是否缴纳个人所得税？,职工 个人 中国 职工 互助会 分配 红利 所得 缴纳 个人所得税
溶剂油的消费税征税范围是什么？,溶剂油 消费税 征税
国家税务总局关于葛洲坝集团公司缴纳企业所得税问题的通知,国家税务总局 葛洲坝 集团公司 缴纳 企业 所得税 通知
缴纳土地增值税什么情况下需要核定？,缴纳 土地 增值税 情况 核定
对各类学校、托儿所、幼儿园是否缴纳房产税和城镇土地使用税？,各类 学校 托儿所 幼儿园 缴纳 房产税 城镇 土地 使用税
有偿方式取得土地使用权如何缴纳城镇土地使用税？,有偿 方式 土地 使用权 缴纳 城镇 土地 使用税
国家税务总局关于跨境贸易人民币结算出口货物退（免）税有关事项的通知,国家税务总局 跨境 贸易 人民币 结算 出口 货物 退 免 税 事项 通知
财政部　国家税务总局关于中国对外贸易运输（集团）总公司资产评估增值有关企,财政部 　 国家税务总局 中国 对外贸易 运输 集团 总公司 资产 评估 增值 企
委托施工企业建设的房屋应从什么时间起开始缴纳房产税？,委托 施工 企业 建设 房屋 应从 时间 缴纳 房产税
注销登记（单位及查账征收个体工商户）,注销 登记 单位 查账 征收 个体 工商户
财政部 国家税务总局关于以贵金属和宝石为主要原材料的货物出口退税政策的通,财政部   国家税务总局 贵金属 宝石 主要 原材料 货物 出口 退税 政策 通
主管税务机关在受理非居民企业股权转让适用特殊性税务处理备案时，有什么管理,主管 税务机关 受理 非 居民 企业 股权 转让 特殊性 税务 备案 时 管理
进入中哈霍尔果斯国际边境合作中心（以下简称中心）货物是否享受增值税退（免,中哈 霍尔果斯 国际 边境 合作 中心 简称 中心 货物 享受 增值税 退 免
国家税务总局关于自卸式垃圾车车辆购置税有关问题的公告,国家税务总局 自卸 式 垃圾车 车辆 购置税 公告
用人单位在什么情况下需要缴纳残疾人就业保障金？,用人单位 情况 缴纳 残疾人 就业 保障金
财政部 国家税务总局 中国残疾人联合会关于印发《残疾人就业保障金征收使用,财政部   国家税务总局   中国残疾人联合会 印发 残疾人 就业 保障金 征收
北京市国家税务局转发《财政部 国家税务总局关于风力发电增值税政策的通知》,北京市 国家税务局 转发 财政部   国家税务总局 风力 发电 增值税 政策 通知
国家税务总局关于开展增值税发票使用管理情况专项检查的通知,国家税务总局 增值税 发票 管理 情况 专项 检查 通知
财政部 国家税务总局关于国家大学科技园税收政策的通知,财政部   国家税务总局 国家 大学 科技园 税收政策 通知
